@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute varObjetivo numeric

@data
7,0.192916
7.1,0.55
7.2,0.55
7.3,0.549999
7.4,0.549994
7.5,0.549304
7.599999,0.533335
7.699999,0.470375
7.799999,0.616375
7.899999,0.762375
7.999999,0.908375
8.099999,1.054376
8.2,1.200375
8.3,1.346376
8.400001,1.492375
8.500001,1.510153
8.600001,1.658152
8.700002,1.930376
8.800002,2.076377
8.900002,2.102154
9.000003,2.250154
9.100003,2.514378
9.200004,2.660378
9.300004,2.806378
9.400004,2.952378
9.500005,3.098379
9.600005,3.244379
9.700006,3.39038
9.800006,3.536379
9.900006,3.582156
10.000007,3.730156
10.100007,3.97438
10.200007,4.026233
10.300008,4.176233
10.400008,4.326385
10.500009,4.478386
10.600009,4.630386
10.700009,4.866611
10.80001,4.934386
10.90001,5.166611
11.00001,5.316611
11.100011,5.390388
11.200011,5.616611
11.300012,5.766612
11.400012,5.916612
11.500012,6.066613
11.600013,6.216613
11.700013,6.30239
11.800014,6.516613
11.900014,6.666614
12.000014,6.816615
12.100015,6.910392
12.200015,7.116615
12.300015,7.266615
12.400016,7.416615
12.500016,7.518393
12.600017,7.716617
12.700017,7.866617
12.800017,8.016618
12.900018,8.166617
13.000018,8.316618
13.100019,8.466619
13.200019,8.616617
13.300019,8.766619
13.40002,8.916619
13.50002,9.06662
13.60002,9.216619
13.700021,9.366619
13.800021,9.494396
13.900022,9.66662
14.000022,9.816621
14.100022,9.96662
14.200023,10.102398
14.300023,10.266622
14.400023,10.416623
14.500024,10.566622
14.600024,10.716623
14.700025,10.862399
14.800025,11.014401
14.900025,11.166625
