@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute varObjetivo numeric

@data
3,-53.187214
3.1,-44.057343
3.2,-31.486973
3.3,-30.305517
3.4,-34.073204
3.5,-33.555241
3.599999,-25.350145
3.699999,-28.591368
3.799999,-29.070116
3.899999,-27.645693
3.999999,-25.801409
4.099999,-25.35014
4.199999,-21.053398
4.299999,-21.178185
4.399999,-20.64529
4.499999,-19.444536
4.599998,-18.775789
4.699998,-17.521797
4.799998,-18.663651
4.899998,-20.241119
4.999998,-16.415209
5.099998,-20.385178
5.199998,-20.645269
5.299998,-15.343969
5.399998,-22.301197
5.499998,-15.697129
5.599998,-16.054222
5.699997,-12.659939
5.799997,-12.028186
5.899997,-15.697121
5.999997,-15.697116
6.099997,-14.649426
6.199997,-13.637009
6.299997,-14.308032
6.399997,-12.659956
6.499997,-10.517611
6.599997,-13.971605
6.699996,-10.268806
6.799996,-11.349264
6.899996,-14.644953
6.999996,-17.202791
7.099996,-14.184894
7.199996,-14.300533
7.299996,-17.184677
7.399996,-14.149835
7.499996,-15.426079
7.599996,-13.995052
7.699996,-14.877552
7.799995,-11.629065
7.899995,-14.716455
7.999995,-12.186429
8.099996,-16.13995
8.199996,-11.657876
8.299996,-8.656332
8.399997,-14.490927
8.499997,-11.944254
8.599998,-9.224726
8.699998,-7.98362
8.799998,-8.381951
8.899999,-7.166613
8.999999,-11.677341
9.099999,-7.298796
9.2,-8.343128
9.3,-10.489006
9.400001,-5.925121
9.500001,-5.676812
9.600001,-11.845563
9.700002,-6.40543
9.800002,-4.93188
9.900002,-8.499638
10.000003,-4.729673
10.100003,-7.287751
10.200004,-5.740013
10.300004,-4.271056
10.400004,-5.219361
10.500005,-6.21445
10.600005,-3.804345
10.700006,-7.315347
10.800006,-5.409453
10.900006,-2.476717
11.000007,-6.150973
11.100007,-5.231688
11.200007,-4.645758
11.300008,-2.876327
11.400008,-4.105062
11.500009,-0.974651
11.600009,-0.990652
11.700009,-1.554882
11.80001,-3.023655
11.90001,0.026771
12.00001,-2.18927
12.100011,-0.793494
12.200011,0.523502
12.300012,-1.671843
12.400012,-0.012392
12.500012,0.772139
12.600013,0.508347
12.700013,-2.657883
12.800014,2.518502
12.900014,2.766877
13.000014,2.054015
13.100015,0.762815
13.200015,3.512024
13.300015,0.484822
13.400016,4.008789
13.500016,4.032755
13.600017,4.505571
13.700017,3.372558
13.800017,2.122284
13.900018,2.131169
14.000018,3.915781
14.100019,5.747549
14.200019,4.440579
14.300019,6.244354
14.40002,2.719093
14.50002,3.777576
14.60002,4.3015
14.700021,6.412738
14.800021,4.846319
14.900022,5.593984
